state;action_reward;n_state
100&4|508&2|654&3|127&3|14&4|309&2|1266&2|496&3|286&2|204&2|640&2|194&1;181&2|929&1|473&1|213&2;100&4|508&2|654&3|127&3|14&4|309&2|1266&2|496&3|286&2|204&2|640&2|194&1|181&2|929&1|473&1|213&2
688&1|302&5|332&4|259&1|323&5|905&4|338&1|311&4|327&3|690&5|898&5|329&5;890&1|313&5|895&2|894&1;688&1|302&5|332&4|259&1|323&5|905&4|338&1|311&4|327&3|690&5|898&5|329&5|890&1|313&5|895&2|894&1
315&5|879&4|354&4|259&2|332&4|344&4|331&5|264&4|678&4|294&4|748&3|327&4;288&2|307&4|312&4|898&3;315&5|879&4|354&4|259&2|332&4|344&4|331&5|264&4|678&4|294&4|748&3|327&4|288&2|307&4|312&4|898&3
127&5|471&5|257&5|121&2|275&2|117&5|1&5|298&4|1016&4|250&3|24&4|50&4;252&4|678&3|254&4|323&3;127&5|471&5|257&5|121&2|275&2|117&5|1&5|298&4|1016&4|250&3|24&4|50&4|252&4|678&3|254&4|323&3
504&3|1101&3|182&5|315&4|210&3|272&5|86&5|268&3|313&3|357&5|186&4|216&4;168&3|124&5|962&2|98&4;504&3|1101&3|182&5|315&4|210&3|272&5|86&5|268&3|313&3|357&5|186&4|216&4|168&3|124&5|962&2|98&4
271&2|58&4|100&3|151&4|121&4|251&4|340&3|736&5|181&4|751&3|750&4|300&2;50&5|28&5|258&5|64&5;271&2|58&4|100&3|151&4|121&4|251&4|340&3|736&5|181&4|751&3|750&4|300&2|50&5|28&5|258&5|64&5
79&4|423&5|176&4|180&4|433&4|182&4|770&4|102&4|204&4|100&5|128&2|240&3;95&4|762&4|66&4|640&1;79&4|423&5|176&4|180&4|433&4|182&4|770&4|102&4|204&4|100&5|128&2|240&3|95&4|762&4|66&4|640&1
358&3|258&5|302&5|288&4|879&2|269&4|327&5|268&4|305&4|262&4|300&3|333&3;307&3|689&2|271&3|325&1;358&3|258&5|302&5|288&4|879&2|269&4|327&5|268&4|305&4|262&4|300&3|333&3|307&3|689&2|271&3|325&1
21&2|271&1|328&3|473&3|472&1|111&1|676&2|268&4|763&1|929&2|456&1|1028&1;418&1|588&2|99&1|91&3;21&2|271&1|328&3|473&3|472&1|111&1|676&2|268&4|763&1|929&2|456&1|1028&1|418&1|588&2|99&1|91&3
428&4|462&4|8&4|379&3|930&2|469&4|686&3|86&3|1140&2|685&4|380&3|582&3;544&3|340&5|234&5|9&5;428&4|462&4|8&4|379&3|930&2|469&4|686&3|86&3|1140&2|685&4|380&3|582&3|544&3|340&5|234&5|9&5
270&3|356&3|121&3|562&3|257&2|203&3|226&3|96&3|181&2|176&3|229&3|225&1;273&4|485&5|159&4|241&4;270&3|356&3|121&3|562&3|257&2|203&3|226&3|96&3|181&2|176&3|229&3|225&1|273&4|485&5|159&4|241&4
245&2|303&3|887&4|880&3|259&3|754&3|305&4|264&2|358&2|133&5|321&5|682&1;588&4|127&4|22&4|306&3;245&2|303&3|887&4|880&3|259&3|754&3|305&4|264&2|358&2|133&5|321&5|682&1|588&4|127&4|22&4|306&3
194&5|69&5|133&5|969&4|596&5|164&4|501&4|228&4|190&2|713&3|7&5|70&5;663&5|78&1|473&5|1012&4;194&5|69&5|133&5|969&4|596&5|164&4|501&4|228&4|190&2|713&3|7&5|70&5|663&5|78&1|473&5|1012&4
50&5|509&4|96&4|81&5|473&3|408&5|480&4|616&2|613&4|172&4|87&4|507&3;88&4|1074&3|675&4|1118&4;50&5|509&4|96&4|81&5|473&3|408&5|480&4|616&2|613&4|172&4|87&4|507&3|88&4|1074&3|675&4|1118&4
281&3|100&4|64&4|582&2|1160&4|164&4|1086&3|58&3|694&4|176&3|257&4|1028&2;217&4|1171&3|307&4|778&4;281&3|100&4|64&4|582&2|1160&4|164&4|1086&3|58&3|694&4|176&3|257&4|1028&2|217&4|1171&3|307&4|778&4
280&5|56&3|319&3|435&4|678&3|1&4|208&3|275&3|204&4|471&4|276&3|124&4;248&4|9&3|181&4|259&2;280&5|56&3|319&3|435&4|678&3|1&4|208&3|275&3|204&4|471&4|276&3|124&4|248&4|9&3|181&4|259&2
293&4|15&3|928&4|255&4|180&5|108&4|173&4|475&5|176&4|12&5|357&5|98&4;546&3|271&3|147&4|781&3;293&4|15&3|928&4|255&4|180&5|108&4|173&4|475&5|176&4|12&5|357&5|98&4|546&3|271&3|147&4|781&3
458&3|471&2|515&4|328&2|237&3|269&4|685&3|286&3|831&2|369&2|748&1|117&3;252&3|930&2|181&4|15&4;458&3|471&2|515&4|328&2|237&3|269&4|685&3|286&3|831&2|369&2|748&1|117&3|252&3|930&2|181&4|15&4
258&5|275&5|1&5|742&4|181&4|300&5|289&3|124&4|329&3|126&5|740&4|990&4;475&1|845&2|713&4|515&4;258&5|275&5|1&5|742&4|181&4|300&5|289&3|124&4|329&3|126&5|740&4|990&4|475&1|845&2|713&4|515&4
331&3|459&5|455&1|744&4|18&1|696&2|125&5|754&5|1&1|302&4|220&4|251&2;928&1|476&4|926&1|934&4;331&3|459&5|455&1|744&4|18&1|696&2|125&5|754&5|1&1|302&4|220&4|251&2|928&1|476&4|926&1|934&4
484&4|410&4|178&4|111&4|607&3|984&2|531&4|293&4|12&5|100&4|196&4|1314&3;155&4|783&4|358&1|873&3;484&4|410&4|178&4|111&4|607&3|984&2|531&4|293&4|12&5|100&4|196&4|1314&3|155&4|783&4|358&1|873&3
304&4|310&4|331&2|300&5|323&3|258&4|333&3|269&3|751&3|328&5|1127&4|301&1;347&5|271&1|243&2|678&3;304&4|310&4|331&2|300&5|323&3|258&4|333&3|269&3|751&3|328&5|1127&4|301&1|347&5|271&1|243&2|678&3
143&4|476&5|98&5|237&3|179&1|616&4|448&5|214&4|548&2|485&4|517&4|660&4;1090&4|401&2|717&4|667&3;143&4|476&5|98&5|237&3|179&1|616&4|448&5|214&4|548&2|485&4|517&4|660&4|1090&4|401&2|717&4|667&3
294&3|739&5|300&4|316&5|180&1|513&4|483&4|894&3|174&5|315&5|276&4|186&4;88&5|127&4|100&4|66&5;294&3|739&5|300&4|316&5|180&1|513&4|483&4|894&3|174&5|315&5|276&4|186&4|88&5|127&4|100&4|66&5
204&3|527&3|48&4|288&3|301&4|421&2|705&5|511&5|71&3|238&5|133&4|483&3;544&4|9&5|15&4|508&2;204&3|527&3|48&4|288&3|301&4|421&2|705&5|511&5|71&3|238&5|133&4|483&3|544&4|9&5|15&4|508&2
333&3|343&3|1071&3|474&5|98&5|59&4|6&5|327&3|531&4|421&3|12&3|203&4;1048&2|1157&1|121&2|24&2;333&3|343&3|1071&3|474&5|98&5|59&4|6&5|327&3|531&4|421&3|12&3|203&4|1048&2|1157&1|121&2|24&2
941&4|269&4|117&4|194&4|1090&2|1078&4|554&3|1258&3|682&1|38&3|333&1|465&3;187&4|476&2|127&5|366&4;941&4|269&4|117&4|194&4|1090&2|1078&4|554&3|1258&3|682&1|38&3|333&1|465&3|187&4|476&2|127&5|366&4
25&3|223&5|447&3|665&4|289&2|477&4|578&2|404&3|385&1|384&2|628&1|739&2;719&4|254&1|576&1|368&1;25&3|223&5|447&3|665&4|289&2|477&4|578&2|404&3|385&1|384&2|628&1|739&2|719&4|254&1|576&1|368&1
300&4|310&4|346&5|260&3|270&5|343&2|324&4|301&3|895&4|678&1|302&5|340&4;100&5|690&4|886&4|11&5;300&4|310&4|346&5|260&3|270&5|343&2|324&4|301&3|895&4|678&1|302&5|340&4|100&5|690&4|886&4|11&5
295&4|742&5|405&4|924&2|126&5|117&5|222&5|596&4|763&2|123&3|274&4|685&3;931&3|930&3|151&5|473&2;295&4|742&5|405&4|924&2|126&5|117&5|222&5|596&4|763&2|123&3|274&4|685&3|931&3|930&3|151&5|473&2
106&3|328&4|742&4|280&3|278&3|268&1|405&4|905&4|273&3|272&4|682&3|282&5;975&4|1061&4|977&3|826&3;106&3|328&4|742&4|280&3|278&3|268&1|405&4|905&4|273&3|272&4|682&3|282&5|975&4|1061&4|977&3|826&3
527&4|731&2|305&1|179&1|58&3|165&3|423&2|88&3|427&4|311&3|863&4|382&2;553&3|949&3|153&3|100&1;527&4|731&2|305&1|179&1|58&3|165&3|423&2|88&3|427&4|311&3|863&4|382&2|553&3|949&3|153&3|100&1
259&1|302&5|304&3|328&3|332&3|288&2|689&2|258&3|346&4|331&3|292&4|310&2;338&2|325&1|271&3|748&3;259&1|302&5|304&3|328&3|332&3|288&2|689&2|258&3|346&4|331&3|292&4|310&2|338&2|325&1|271&3|748&3
1016&1|181&4|121&3|254&2|597&2|118&5|273&5|1089&1|117&3|7&3|257&3|50&4;79&5|89&5|56&4|22&5;1016&1|181&4|121&3|254&2|597&2|118&5|273&5|1089&1|117&3|7&3|257&3|50&4|79&5|89&5|56&4|22&5
346&4|900&4|166&4|358&3|243&3|919&5|335&2|168&3|948&2|752&4|316&5|890&3;181&5|114&5|268&5|271&5;346&4|900&4|166&4|358&3|243&3|919&5|335&2|168&3|948&2|752&4|316&5|890&3|181&5|114&5|268&5|271&5
679&4|550&3|44&3|202&4|415&3|56&5|323&3|88&4|177&5|306&4|28&5|921&4;135&4|623&2|378&5|276&4;679&4|550&3|44&3|202&4|415&3|56&5|323&3|88&4|177&5|306&4|28&5|921&4|135&4|623&2|378&5|276&4
908&1|359&3|258&5|898&1|271&4|1243&4|334&5|346&5|327&5|294&4|319&2|1607&2;910&2|903&3|873&2|906&4;908&1|359&3|258&5|898&1|271&4|1243&4|334&5|346&5|327&5|294&4|319&2|1607&2|910&2|903&3|873&2|906&4
294&3|751&3|272&5|304&3|315&4|539&1|346&3|269&4|306&4|286&2|322&2|258&5;245&3|316&4|355&2|343&2;294&3|751&3|272&5|304&3|315&4|539&1|346&3|269&4|306&4|286&2|322&2|258&5|245&3|316&4|355&2|343&2
287&3|274&2|150&3|487&5|410&3|1094&3|286&4|591&3|32&5|262&2|135&3|547&5;574&1|192&4|58&5|131&5;287&3|274&2|150&3|487&5|410&3|1094&3|286&4|591&3|32&5|262&2|135&3|547&5|574&1|192&4|58&5|131&5
435&3|751&2|1596&2|323&2|1089&2|157&2|1595&2|12&5|227&4|232&3|443&2|100&4;204&4|675&3|198&4|347&4;435&3|751&2|1596&2|323&2|1089&2|157&2|1595&2|12&5|227&4|232&3|443&2|100&4|204&4|675&3|198&4|347&4
14&4|304&2|283&5|348&1|892&3|325&1|988&2|258&5|547&3|898&5|300&3|687&1;24&1|116&5|275&5|20&3;14&4|304&2|283&5|348&1|892&3|325&1|988&2|258&5|547&3|898&5|300&3|687&1|24&1|116&5|275&5|20&3
628&3|7&4|126&4|273&4|25&4|276&5|151&5|286&5|100&5|748&3|127&5|511&5;480&5|1101&4|479&5|117&3;628&3|7&4|126&4|273&4|25&4|276&5|151&5|286&5|100&5|748&3|127&5|511&5|480&5|1101&4|479&5|117&3
381&4|354&2|70&4|306&5|258&1|315&4|539&3|286&2|303&1|100&5|347&4|302&3;127&4|316&5|259&5|50&5;381&4|354&2|70&4|306&5|258&1|315&4|539&3|286&2|303&1|100&5|347&4|302&3|127&4|316&5|259&5|50&5
331&2|258&3|307&5|333&3|313&4|289&1|319&3|302&5|328&5|315&5|300&4|322&3;1025&1|748&3|245&3|678&2;331&2|258&3|307&5|333&3|313&4|289&1|319&3|302&5|328&5|315&5|300&4|322&3|1025&1|748&3|245&3|678&2
294&3|895&3|258&4|313&5|333&4|880&3|339&3|328&4|879&3|682&4|307&3|751&4;343&4|329&4|348&4|245&3;294&3|895&3|258&4|313&5|333&4|880&3|339&3|328&4|879&3|682&4|307&3|751&4|343&4|329&4|348&4|245&3
461&4|111&3|1267&4|33&4|172&5|544&3|61&4|443&4|357&4|182&3|56&5|92&4;452&2|793&3|53&4|578&2;461&4|111&3|1267&4|33&4|172&5|544&3|61&4|443&4|357&4|182&3|56&5|92&4|452&2|793&3|53&4|578&2
216&4|874&3|302&5|321&1|304&3|1022&5|333&1|1296&5|880&2|268&3|172&3|340&5;1&2|45&5|146&3|1194&4;216&4|874&3|302&5|321&1|304&3|1022&5|333&1|1296&5|880&2|268&3|172&3|340&5|1&2|45&5|146&3|1194&4
274&5|778&3|487&5|80&5|15&5|157&5|286&5|660&5|237&5|167&5|739&5|699&5;724&5|313&4|780&5|1300&4;274&5|778&3|487&5|80&5|15&5|157&5|286&5|660&5|237&5|167&5|739&5|699&5|724&5|313&4|780&5|1300&4
275&4|293&5|11&5|1160&4|287&4|237&5|923&5|98&5|685&4|898&4|244&1|1142&5;89&5|484&4|153&4|663&5;275&4|293&5|11&5|1160&4|287&4|237&5|923&5|98&5|685&4|898&4|244&1|1142&5|89&5|484&4|153&4|663&5
301&3|250&3|276&5|447&4|676&4|740&3|322&3|558&5|475&3|418&4|988&3|319&3;690&3|953&3|1173&3|70&4;301&3|250&3|276&5|447&4|676&4|740&3|322&3|558&5|475&3|418&4|988&3|319&3|690&3|953&3|1173&3|70&4
193&4|1050&3|69&5|530&5|645&4|484&4|1035&4|671&3|498&5|174&5|482&5|528&3;419&4|521&3|28&4|127&5;193&4|1050&3|69&5|530&5|645&4|484&4|1035&4|671&3|498&5|174&5|482&5|528&3|419&4|521&3|28&4|127&5
167&2|214&3|121&3|193&4|163&2|1017&3|209&2|471&3|200&4|98&5|88&3|1028&2;1246&1|578&1|550&1|636&2;167&2|214&3|121&3|193&4|163&2|1017&3|209&2|471&3|200&4|98&5|88&3|1028&2|1246&1|578&1|550&1|636&2
178&5|210&4|523&5|631&3|272&5|1296&4|344&4|382&4|300&2|493&4|654&5|175&3;662&3|154&3|633&5|486&4;178&5|210&4|523&5|631&3|272&5|1296&4|344&4|382&4|300&2|493&4|654&5|175&3|662&3|154&3|633&5|486&4
604&3|484&4|462&4|181&4|124&4|69&2|144&2|657&4|174&4|496&3|114&4|191&4;64&4|964&4|357&4|32&2;604&3|484&4|462&4|181&4|124&4|69&2|144&2|657&4|174&4|496&3|114&4|191&4|64&4|964&4|357&4|32&2
246&4|100&3|475&3|1048&4|7&4|300&4|273&2|242&5|405&4|237&5|301&3|591&4;121&2|240&3|290&4|93&4;246&4|100&3|475&3|1048&4|7&4|300&4|273&2|242&5|405&4|237&5|301&3|591&4|121&2|240&3|290&4|93&4
475&5|282&4|325&3|742&2|275&4|151&5|346&4|304&3|1142&5|825&2|880&3|222&3;9&4|1264&2|369&3|762&4;475&5|282&4|325&3|742&2|275&4|151&5|346&4|304&3|1142&5|825&2|880&3|222&3|9&4|1264&2|369&3|762&4
181&3|15&3|188&4|91&4|241&2|433&1|345&4|431&2|566&3|14&3|639&3|709&3;805&3|362&2|53&3|143&1;181&3|15&3|188&4|91&4|241&2|433&1|345&4|431&2|566&3|14&3|639&3|709&3|805&3|362&2|53&3|143&1
278&4|185&2|873&4|631&3|288&4|125&4|25&2|258&5|819&1|845&5|204&4|928&1;739&4|1037&5|1135&4|723&2;278&4|185&2|873&4|631&3|288&4|125&4|25&2|258&5|819&1|845&5|204&4|928&1|739&4|1037&5|1135&4|723&2
127&4|288&4|323&2|181&4|754&2|245&2|7&4|276&4|886&3|328&2|50&5|544&1;125&2|1007&3|1&5|248&4;127&4|288&4|323&2|181&4|754&2|245&2|7&4|276&4|886&3|328&2|50&5|544&1|125&2|1007&3|1&5|248&4
281&4|575&3|21&2|118&3|366&2|47&4|926&3|1016&4|228&3|63&3|195&4|39&4;1224&3|603&5|931&3|295&5;281&4|575&3|21&2|118&3|366&2|47&4|926&3|1016&4|228&3|63&3|195&4|39&4|1224&3|603&5|931&3|295&5
125&5|1047&4|273&5|984&3|334&4|322&3|1277&5|455&5|283&5|284&4|819&4|826&3;407&3|831&3|820&4|825&3;125&5|1047&4|273&5|984&3|334&4|322&3|1277&5|455&5|283&5|284&4|819&4|826&3|407&3|831&3|820&4|825&3
527&3|1039&2|632&4|176&4|136&5|269&5|98&5|22&5|300&5|100&5|511&4|688&1;435&4|272&5|593&2|197&5;527&3|1039&2|632&4|176&4|136&5|269&5|98&5|22&5|300&5|100&5|511&4|688&1|435&4|272&5|593&2|197&5
50&5|307&4|25&3|275&3|323&2|117&4|292&5|1017&2|333&5|313&5|181&5|744&4;762&4|282&4|15&4|628&5;50&5|307&4|25&3|275&3|323&2|117&4|292&5|1017&2|333&5|313&5|181&5|744&4|762&4|282&4|15&4|628&5
100&5|300&3|151&4|475&5|988&1|313&5|294&1|222&4|258&4|50&5|181&4|458&4;472&4|235&3|118&2|597&3;100&5|300&3|151&4|475&5|988&1|313&5|294&1|222&4|258&4|50&5|181&4|458&4|472&4|235&3|118&2|597&3
750&2|269&2|326&2|294&3|292&3|323&3|310&3|307&4|332&3|300&5|342&3|362&4;344&2|905&2|329&2|690&2;750&2|269&2|326&2|294&3|292&3|323&3|310&3|307&4|332&3|300&5|342&3|362&4|344&2|905&2|329&2|690&2
333&2|226&5|144&5|33&3|332&4|566&4|161&4|22&5|346&3|79&5|300&5|117&5;363&2|576&4|29&1|1231&2;333&2|226&5|144&5|33&3|332&4|566&4|161&4|22&5|346&3|79&5|300&5|117&5|363&2|576&4|29&1|1231&2
989&1|892&1|687&1|93&4|323&3|259&1|324&1|221&4|539&1|751&3|269&5|988&1;475&5|1326&3|1354&1|473&4;989&1|892&1|687&1|93&4|323&3|259&1|324&1|221&4|539&1|751&3|269&5|988&1|475&5|1326&3|1354&1|473&4
357&3|275&5|228&4|1005&3|211&4|652&4|1006&3|472&2|512&5|202&3|961&5|250&4;549&3|380&5|227&3|483&4;357&3|275&5|228&4|1005&3|211&4|652&4|1006&3|472&2|512&5|202&3|961&5|250&4|549&3|380&5|227&3|483&4
127&5|117&5|121&3|277&2|264&3|118&2|319&1|50&5|281&3|7&2|1245&4|950&4;1664&1|846&2|696&2|532&3;127&5|117&5|121&3|277&2|264&3|118&2|319&1|50&5|281&3|7&2|1245&4|950&4|1664&1|846&2|696&2|532&3
1098&4|275&5|459&4|56&5|489&5|276&3|179&5|234&5|204&5|16&3|173&5|118&1;510&5|1099&5|418&3|433&5;1098&4|275&5|459&4|56&5|489&5|276&3|179&5|234&5|204&5|16&3|173&5|118&1|510&5|1099&5|418&3|433&5
144&4|223&5|303&4|471&4|175&5|10&4|358&1|1073&4|727&4|180&5|174&5|387&4;72&5|4&5|474&5|188&4;144&4|223&5|303&4|471&4|175&5|10&4|358&1|1073&4|727&4|180&5|174&5|387&4|72&5|4&5|474&5|188&4
432&4|328&5|195&5|322&4|204&4|1524&5|174&5|180&5|754&4|258&4|531&5|479&4;56&5|480&5|154&4|641&3;432&4|328&5|195&5|322&4|204&4|1524&5|174&5|180&5|754&4|258&4|531&5|479&4|56&5|480&5|154&4|641&3
539&3|1431&3|345&3|342&3|302&4|311&3|310&4|1176&3|689&3|327&2|286&3|362&1;344&5|752&2|1127&3|347&4;539&3|1431&3|345&3|342&3|302&4|311&3|310&4|1176&3|689&3|327&2|286&3|362&1|344&5|752&2|1127&3|347&4
87&3|423&2|137&4|190&4|896&3|179&4|127&5|512&3|750&3|24&1|633&3|653&4;494&4|527&4|206&1|53&2;87&3|423&2|137&4|190&4|896&3|179&4|127&5|512&3|750&3|24&1|633&3|653&4|494&4|527&4|206&1|53&2
12&5|471&3|451&4|311&4|79&4|286&3|694&5|26&3|559&3|97&3|431&3|405&2;715&4|288&4|127&5|8&5;12&5|471&3|451&4|311&4|79&4|286&3|694&5|26&3|559&3|97&3|431&3|405&2|715&4|288&4|127&5|8&5
359&3|301&3|328&3|300&3|270&4|326&2|299&2|245&4|340&2|289&3|334&3|292&5;888&1|303&2|286&3|327&2;359&3|301&3|328&3|300&3|270&4|326&2|299&2|245&4|340&2|289&3|334&3|292&5|888&1|303&2|286&3|327&2
252&3|96&5|20&1|435&5|142&4|35&4|1389&5|679&4|15&5|230&5|498&4|172&5;662&4|521&2|234&4|523&4;252&3|96&5|20&1|435&5|142&4|35&4|1389&5|679&4|15&5|230&5|498&4|172&5|662&4|521&2|234&4|523&4
47&2|70&1|651&4|402&4|526&4|135&4|237&4|427&5|9&5|476&3|65&3|15&5;393&4|66&3|202&4|435&4;47&2|70&1|651&4|402&4|526&4|135&4|237&4|427&5|9&5|476&3|65&3|15&5|393&4|66&3|202&4|435&4
751&3|292&4|690&3|269&3|691&2|308&4|259&3|748&4|895&2|750&5|898&4|323&4;22&5|312&5|350&4|349&4;751&3|292&4|690&3|269&3|691&2|308&4|259&3|748&4|895&2|750&5|898&4|323&4|22&5|312&5|350&4|349&4
294&1|187&5|1283&1|432&4|127&5|123&3|1059&3|462&2|435&5|1016&3|284&3|177&5;76&5|173&2|465&3|85&5;294&1|187&5|1283&1|432&4|127&5|123&3|1059&3|462&2|435&5|1016&3|284&3|177&5|76&5|173&2|465&3|85&5
24&4|156&1|60&2|96&4|265&5|369&2|222&3|264&3|171&5|121&5|300&4|188&5;550&4|25&4|59&5|435&5;24&4|156&1|60&2|96&4|265&5|369&2|222&3|264&3|171&5|121&5|300&4|188&5|550&4|25&4|59&5|435&5
1021&3|45&3|60&3|170&2|462&4|638&4|86&2|171&3|179&3|855&4|512&4|165&4;198&4|529&4|582&3|509&3;1021&3|45&3|60&3|170&2|462&4|638&4|86&2|171&3|179&3|855&4|512&4|165&4|198&4|529&4|582&3|509&3
25&3|151&5|227&5|106&2|127&3|125&4|250&3|471&5|235&3|450&2|15&5|520&5;67&4|879&3|631&4|831&1;25&3|151&5|227&5|106&2|127&3|125&4|250&3|471&5|235&3|450&2|15&5|520&5|67&4|879&3|631&4|831&1
24&3|97&3|174&4|95&3|200&4|237&4|117&3|1262&2|423&3|129&4|1174&3|410&3;15&3|692&4|249&2|324&3;24&3|97&3|174&4|95&3|200&4|237&4|117&3|1262&2|423&3|129&4|1174&3|410&3|15&3|692&4|249&2|324&3
690&4|305&4|319&4|302&4|269&4|304&5|751&2|313&4|340&4|937&3|898&5|750&5;345&4|270&3|301&5|339&5;690&4|305&4|319&4|302&4|269&4|304&5|751&2|313&4|340&4|937&3|898&5|750&5|345&4|270&3|301&5|339&5
353&1|691&3|258&5|916&5|1316&3|303&1|310&4|316&5|272&5|300&4|917&3|339&1;893&2|346&3|271&1|751&1;353&1|691&3|258&5|916&5|1316&3|303&1|310&4|316&5|272&5|300&4|917&3|339&1|893&2|346&3|271&1|751&1
69&4|217&2|399&2|230&2|175&3|52&3|89&2|450&2|673&2|453&2|692&1|431&4;105&1|871&1|546&1|1017&3;69&4|217&2|399&2|230&2|175&3|52&3|89&2|450&2|673&2|453&2|692&1|431&4|105&1|871&1|546&1|1017&3
189&4|248&2|751&3|546&4|265&5|223&4|195&4|1035&4|169&5|274&4|28&5|258&4;4&4|317&4|196&5|678&4;189&4|248&2|751&3|546&4|265&5|223&4|195&4|1035&4|169&5|274&4|28&5|258&4|4&4|317&4|196&5|678&4
86&4|64&4|408&5|418&4|615&4|199&5|423&4|200&3|144&5|280&3|209&4|135&5;192&4|166&5|170&4|272&4;86&4|64&4|408&5|418&4|615&4|199&5|423&4|200&3|144&5|280&3|209&4|135&5|192&4|166&5|170&4|272&4
154&4|71&3|101&2|1227&1|588&4|602&3|508&4|710&4|354&4|513&4|1006&4|151&4;516&4|792&4|73&2|399&2;154&4|71&3|101&2|1227&1|588&4|602&3|508&4|710&4|354&4|513&4|1006&4|151&4|516&4|792&4|73&2|399&2
180&4|227&2|235&1|1041&2|291&4|58&4|215&2|495&4|117&3|184&1|649&4|290&2;497&2|418&1|380&2|520&3;180&4|227&2|235&1|1041&2|291&4|58&4|215&2|495&4|117&3|184&1|649&4|290&2|497&2|418&1|380&2|520&3
147&4|167&3|15&5|716&5|1028&4|158&2|21&1|721&2|312&5|215&5|655&5|476&4;13&3|1033&1|902&3|768&1;147&4|167&3|15&5|716&5|1028&4|158&2|21&1|721&2|312&5|215&5|655&5|476&4|13&3|1033&1|902&3|768&1
607&4|430&3|479&4|131&4|199&4|514&4|530&4|276&3|510&5|215&3|663&2|7&4;193&3|507&3|651&3|709&4;607&4|430&3|479&4|131&4|199&4|514&4|530&4|276&3|510&5|215&3|663&2|7&4|193&3|507&3|651&3|709&4
308&1|332&4|338&2|682&3|294&3|748&5|333&3|331&3|300&4|877&4|310&4|258&2;938&2|322&4|342&1|259&3;308&1|332&4|338&2|682&3|294&3|748&5|333&3|331&3|300&4|877&4|310&4|258&2|938&2|322&4|342&1|259&3
237&5|121&5|281&4|301&4|148&5|15&4|252&4|845&4|100&4|1&4|282&5|269&4;1028&2|866&5|21&2|476&5;237&5|121&5|281&4|301&4|148&5|15&4|252&4|845&4|100&4|1&4|282&5|269&4|1028&2|866&5|21&2|476&5
25&4|279&4|129&4|278&1|508&4|762&3|619&4|748&3|1012&3|1129&3|1008&3|181&3;273&5|15&4|221&4|117&4;25&4|279&4|129&4|278&1|508&4|762&3|619&4|748&3|1012&3|1129&3|1008&3|181&3|273&5|15&4|221&4|117&4
136&4|228&4|530&5|153&4|657&5|318&5|202&4|177&3|181&4|178&5|1&3|98&5;732&5|448&3|445&4|563&3;136&4|228&4|530&5|153&4|657&5|318&5|202&4|177&3|181&4|178&5|1&3|98&5|732&5|448&3|445&4|563&3
483&4|187&5|474&4|205&4|22&5|589&5|318&4|174&3|28&4|429&4|127&5|654&3;56&4|435&3|433&2|135&5;483&4|187&5|474&4|205&4|22&5|589&5|318&4|174&3|28&4|429&4|127&5|654&3|56&4|435&3|433&2|135&5
687&3|876&3|333&4|328&3|988&3|258&3|300&5|881&3|299&3|984&5|245&5|292&5;259&3|749&5|348&3|304&4;687&3|876&3|333&4|328&3|988&3|258&3|300&5|881&3|299&3|984&5|245&5|292&5|259&3|749&5|348&3|304&4
504&2|1519&2|449&1|288&5|199&1|808&1|442&1|1307&1|651&5|76&3|541&1|580&1;1579&1|1193&1|1099&1|374&1;504&2|1519&2|449&1|288&5|199&1|808&1|442&1|1307&1|651&5|76&3|541&1|580&1|1579&1|1193&1|1099&1|374&1
310&1|294&2|301&2|680&1|245&2|345&1|309&2|258&4|326&4|289&2|690&3|751&3;687&1|603&4|705&4|892&1;310&1|294&2|301&2|680&1|245&2|345&1|309&2|258&4|326&4|289&2|690&3|751&3|687&1|603&4|705&4|892&1
326&3|38&3|354&2|289&4|323&3|55&3|241&3|172&5|344&4|181&5|177&5|328&4;570&4|399&2|578&3|68&2;326&3|38&3|354&2|289&4|323&3|55&3|241&3|172&5|344&4|181&5|177&5|328&4|570&4|399&2|578&3|68&2
258&4|302&5|313&5|299&3|315&4|347&4|348&3|301&3|331&4|346&3|895&3|288&4;937&4|1313&4|343&4|322&4;258&4|302&5|313&5|299&3|315&4|347&4|348&3|301&3|331&4|346&3|895&3|288&4|937&4|1313&4|343&4|322&4
323&1|417&2|484&3|193&5|436&4|315&3|487&5|111&3|174&4|70&4|96&4|118&2;597&2|94&3|1446&2|472&2;323&1|417&2|484&3|193&5|436&4|315&3|487&5|111&3|174&4|70&4|96&4|118&2|597&2|94&3|1446&2|472&2
185&5|685&3|222&4|529&5|707&5|611&4|483&5|66&4|216&4|258&4|663&4|423&5;92&4|553&2|221&4|653&4;185&5|685&3|222&4|529&5|707&5|611&4|483&5|66&4|216&4|258&4|663&4|423&5|92&4|553&2|221&4|653&4
50&4|321&4|174&4|168&3|751&3|628&4|215&2|301&3|98&4|7&4|173&4|436&4;164&2|855&5|355&1|66&4;50&4|321&4|174&4|168&3|751&3|628&4|215&2|301&3|98&4|7&4|173&4|436&4|164&2|855&5|355&1|66&4
504&2|188&3|431&4|100&3|62&3|385&5|550&5|117&4|449&2|403&3|185&5|554&3;175&4|204&5|211&4|238&4;504&2|188&3|431&4|100&3|62&3|385&5|550&5|117&4|449&2|403&3|185&5|554&3|175&4|204&5|211&4|238&4
